"temps","C1","C2","C3","C4","C5","C6","C7","C8"
"1671028578","20,63","20,73","20,79","20,65","20,42","20,67","20,66","20,73"
"1671028579","20,62","20,72","20,78","20,65","20,43","20,66","20,67","20,74"
"1671028580","20,63","20,72","20,77","20,64","20,42","20,66","20,66","20,73"
"1671028581","20,62","20,71","20,77","20,64","20,42","20,67","20,65","20,72"
"1671028582","20,62","20,71","20,77","20,65","20,42","20,67","20,66","20,73"
"1671028583","20,62","20,72","20,78","20,65","20,42","20,67","20,67","20,73"
"1671028584","20,63","20,73","20,78","20,66","20,43","20,68","20,66","20,73"
"1671028585","20,63","20,72","20,77","20,66","20,43","20,68","20,66","20,73"
"1671028586","20,63","20,73","20,78","20,67","20,43","20,69","20,66","20,73"
"1671028587","20,63","20,72","20,78","20,66","20,43","20,68","20,66","20,73"
"1671028588","20,63","20,73","20,79","20,67","20,44","20,69","20,67","20,73"
"1671028589","20,64","20,73","20,79","20,67","20,43","20,69","20,66","20,73"
"1671028590","20,63","20,73","20,79","20,69","20,43","20,69","20,66","20,74"
"1671028591","20,63","20,73","20,79","20,68","20,44","20,70","20,67","20,74"
"1671028592","20,63","20,72","20,78","20,68","20,44","20,70","20,66","20,73"
"1671028593","20,62","20,73","20,78","20,68","20,44","20,69","20,66","20,73"
"1671028594","20,63","20,73","20,78","20,68","20,44","20,70","20,65","20,73"
"1671028595","20,63","20,73","20,78","20,68","20,44","20,70","20,66","20,72"
"1671028596","20,63","20,72","20,78","20,68","20,43","20,70","20,65","20,72"
"1671028597","20,63","20,73","20,78","20,69","20,44","20,70","20,66","20,73"
"1671028598","20,62","20,72","20,78","20,69","20,44","20,71","20,66","20,73"
"1671028598","20,62","20,72","20,78","20,69","20,44","20,71","20,66","20,73"
"1671028599","20,62","20,72","20,78","20,69","20,44","20,71","20,65","20,73"
"1671028600","20,64","20,72","20,78","20,69","20,44","20,71","20,66","20,72"
"1671028601","20,63","20,73","20,79","20,71","20,45","20,72","20,67","20,73"
"1671028602","20,63","20,73","20,78","20,70","20,45","20,71","20,66","20,73"
"1671028603","20,63","20,72","20,78","20,71","20,45","20,72","20,66","20,72"
"1671028604","20,63","20,73","20,78","20,71","20,45","20,73","20,67","20,73"
"1671028605","20,63","20,73","20,79","20,72","20,46","20,74","20,68","20,74"
"1671028606","20,64","20,75","20,79","20,72","20,46","20,74","20,68","20,74"
"1671028607","20,64","20,74","20,79","20,72","20,46","20,73","20,67","20,74"
"1671028608","20,64","20,74","20,79","20,73","20,46","20,74","20,67","20,73"
"1671028609","20,63","20,74","20,80","20,74","20,46","20,73","20,68","20,74"
"1671028610","20,64","20,74","20,80","20,74","20,47","20,75","20,67","20,74"
"1671028611","20,64","20,74","20,80","20,74","20,46","20,75","20,68","20,74"
"1671028612","20,64","20,74","20,79","20,74","20,47","20,73","20,67","20,73"
"1671028613","20,64","20,74","20,79","20,75","20,47","20,75","20,67","20,73"
"1671028614","20,64","20,74","20,78","20,75","20,46","20,75","20,67","20,73"
"1671028615","20,64","20,74","20,79","20,76","20,47","20,75","20,67","20,73"
"1671028616","20,63","20,74","20,79","20,76","20,47","20,76","20,67","20,73"
"1671028617","20,64","20,73","20,79","20,77","20,47","20,75","20,66","20,73"
"1671028618","20,63","20,74","20,79","20,76","20,47","20,76","20,66","20,72"
"1671028618","20,63","20,74","20,79","20,76","20,47","20,76","20,66","20,72"
"1671028619","20,64","20,74","20,79","20,77","20,47","20,76","20,67","20,72"
"1671028620","20,63","20,73","20,78","20,77","20,48","20,75","20,67","20,72"
"1671028621","20,63","20,73","20,78","20,78","20,47","20,76","20,66","20,73"
"1671028622","20,62","20,73","20,78","20,78","20,47","20,76","20,66","20,72"
"1671028623","20,63","20,73","20,78","20,78","20,48","20,77","20,66","20,72"
"1671028624","20,62","20,73","20,78","20,79","20,47","20,76","20,66","20,73"
"1671028625","20,63","20,74","20,79","20,80","20,48","20,77","20,67","20,72"
"1671028626","20,64","20,74","20,78","20,81","20,49","20,77","20,67","20,73"
"1671028627","20,64","20,74","20,80","20,81","20,49","20,78","20,67","20,73"
"1671028628","20,64","20,74","20,79","20,81","20,49","20,78","20,67","20,73"
"1671028629","20,63","20,74","20,80","20,82","20,50","20,79","20,67","20,74"
"1671028630","20,64","20,74","20,79","20,82","20,49","20,79","20,67","20,73"
"1671028631","20,64","20,73","20,79","20,83","20,50","20,79","20,68","20,73"
"1671028632","20,64","20,75","20,80","20,83","20,50","20,79","20,68","20,73"
"1671028633","20,64","20,75","20,80","20,85","20,51","20,80","20,68","20,74"
"1671028634","20,64","20,75","20,79","20,85","20,50","20,80","20,67","20,73"
"1671028635","20,63","20,74","20,79","20,85","20,51","20,79","20,66","20,74"
"1671028636","20,64","20,74","20,80","20,86","20,51","20,80","20,68","20,74"
"1671028637","20,64","20,75","20,80","20,87","20,51","20,80","20,67","20,74"
"1671028638","20,64","20,75","20,80","20,87","20,52","20,81","20,68","20,74"
"1671028638","20,64","20,75","20,80","20,87","20,52","20,81","20,68","20,74"
"1671028639","20,65","20,75","20,81","20,88","20,51","20,81","20,68","20,74"
"1671028640","20,64","20,75","20,80","20,88","20,52","20,81","20,67","20,74"
"1671028641","20,63","20,74","20,80","20,88","20,51","20,81","20,67","20,72"
"1671028642","20,64","20,74","20,80","20,88","20,51","20,80","20,66","20,73"
"1671028643","20,64","20,75","20,79","20,89","20,52","20,81","20,67","20,73"
"1671028644","20,64","20,74","20,79","20,89","20,52","20,82","20,67","20,74"
"1671028645","20,64","20,75","20,80","20,90","20,52","20,82","20,67","20,74"
"1671028646","20,64","20,75","20,79","20,90","20,52","20,82","20,67","20,74"
"1671028647","20,64","20,75","20,80","20,92","20,53","20,82","20,68","20,74"
"1671028648","20,63","20,74","20,79","20,91","20,53","20,82","20,67","20,74"
"1671028649","20,63","20,75","20,79","20,91","20,53","20,82","20,67","20,73"
"1671028650","20,64","20,75","20,79","20,91","20,53","20,83","20,67","20,73"
"1671028651","20,64","20,75","20,80","20,92","20,54","20,83","20,67","20,73"
"1671028652","20,63","20,74","20,79","20,93","20,54","20,83","20,67","20,73"
"1671028653","20,63","20,75","20,79","20,92","20,53","20,83","20,67","20,73"
"1671028654","20,63","20,76","20,79","20,94","20,54","20,84","20,68","20,73"
"1671028655","20,65","20,76","20,80","20,94","20,54","20,85","20,67","20,73"
"1671028656","20,64","20,75","20,80","20,95","20,54","20,84","20,67","20,73"
"1671028657","20,64","20,75","20,80","20,96","20,55","20,86","20,68","20,73"
"1671028658","20,63","20,75","20,79","20,95","20,54","20,85","20,67","20,73"
"1671028658","20,63","20,75","20,79","20,95","20,54","20,85","20,67","20,73"
"1671028659","20,63","20,75","20,79","20,95","20,54","20,84","20,67","20,72"
